"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 11 14:54:54 ICT 2023","Sun Jun 11 14:55:11 ICT 2023","17325","resource","Lender_Subscription","","","","Login dengan user verified tetapi belum melengkapi profile (INDIVIDUAL)","
    Melakukan login dengan user Verified yang belum melengkapi document profile pada user {email}.
    (expect: tidak akan muncul popup perjanjian pada user {email})
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 11 14:54:37 ICT 2023","Sun Jun 11 14:54:54 ICT 2023","17247","resource","Lender_Subscription","","","","Login dengan user Rejected (INDIVIDUAL)","
    Melakukan login dengan user (baru) yang di rejected dengan KYC.
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 11 14:53:09 ICT 2023","Sun Jun 11 14:54:08 ICT 2023","59180","resource","Lender_Subscription","","","","Login dengan user verified (INDIVIDUAL)","
    Melakukan login dengan user (baru) yang sudah terverifikasi sebagai INDIVIDUAL.
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 11 14:55:11 ICT 2023","Sun Jun 11 14:56:29 ICT 2023","77891","resource","Lender_Subscription","","","","Login dengan user Verified (INDIVIDUAL)","
    Melakukan login dengan user (baru) yang sudah Verified {email}.
    lakukan tanda tangan perjanjian sampai check box lalu logout dan kembali login 
    dan melakukan tanda tangan perjanjian sampai selesai muncul popup close 
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 11 14:56:29 ICT 2023","Sun Jun 11 14:56:50 ICT 2023","20545","resource","Lender_Subscription","","","","Login Kembali Dengan User Yang Sudah Tanda Tangan Perjanjian 2 (INDIVIDUAL)","
    Melakukan login dengan user yang sudah pernah melakukan tanda tangan perjanjian.
    (memastikan user {email} sudah tidak muncul popup tanda tangan perjanjian)
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 11 14:56:50 ICT 2023","Sun Jun 11 15:18:26 ICT 2023","1296178","resource","Lender_Subscription","","","","Login dengan semua user partner (PARTNER)","
    Melakukan login dengan user partner.
    (memastikan user partner tidak mendapatkan tanda tangan perjanjian)
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 11 14:54:08 ICT 2023","Sun Jun 11 14:54:37 ICT 2023","28899","resource","Lender_Subscription","","","","Login dengan user belum Verified (INDIVIDUAL)","
    Melakukan login dengan user (baru) yang masih menunggu proses KYC untuk di verified .
    Langkah-langkah ini meliputi ...
"
